,3043,6159,8287
Country Name,China,United Kingdom,India
Country Code,CHN,GBR,IND
Indicator Name,"Population, total","Population, total","Population, total"
Indicator Code,SP.POP.TOTL,SP.POP.TOTL,SP.POP.TOTL
1960,667070000.0,52400000.0,445954579.0
1961,660330000.0,52800000.0,456351876.0
1962,665770000.0,53250000.0,467024193.0
1963,682335000.0,53650000.0,477933619.0
1964,698355000.0,54000000.0,489059309.0
1965,715185000.0,54348050.0,500114346.0
1966,735400000.0,54648500.0,510992617.0
1967,754550000.0,54943600.0,521987069.0
1968,774510000.0,55211700.0,533431909.0
1969,796025000.0,55441750.0,545314670.0
1970,818315000.0,55663250.0,557501301.0
1971,841105000.0,55896223.0,569999178.0
1972,862030000.0,56086065.0,582837973.0
1973,881940000.0,56194527.0,596107483.0
1974,900350000.0,56229974.0,609721951.0
1975,916395000.0,56225800.0,623524219.0
1976,930685000.0,56211968.0,637451448.0
1977,943455000.0,56193492.0,651685628.0
1978,956165000.0,56196504.0,666267760.0
1979,969005000.0,56246951.0,681248383.0
1980,981235000.0,56314216.0,696828385.0
1981,993885000.0,56333829.0,712869298.0
1982,1008630000.0,56313641.0,729169466.0
1983,1023310000.0,56332848.0,745826546.0
1984,1036825000.0,56422072.0,762895156.0
1985,1051040000.0,56550268.0,780242084.0
1986,1066790000.0,56681396.0,797878993.0
1987,1084035000.0,56802050.0,815716125.0
1988,1101630000.0,56928327.0,833729681.0
1989,1118650000.0,57076711.0,852012673.0
1990,1135185000.0,57247586.0,870452165.0
1991,1150780000.0,57424897.0,888941756.0
1992,1164970000.0,57580402.0,907574049.0
1993,1178440000.0,57718614.0,926351297.0
1994,1191835000.0,57865745.0,945261958.0
1995,1204855000.0,58019030.0,964279129.0
1996,1217550000.0,58166950.0,983281218.0
1997,1230075000.0,58316954.0,1002335230.0
1998,1241935000.0,58487141.0,1021434576.0
1999,1252735000.0,58682466.0,1040500054.0
2000,1262645000.0,58892514.0,1059633675.0
2001,1271850000.0,59119673.0,1078970907.0
2002,1280400000.0,59370479.0,1098313039.0
2003,1288400000.0,59647577.0,1117415123.0
2004,1296075000.0,59987905.0,1136264583.0
2005,1303720000.0,60401206.0,1154638713.0
2006,1311020000.0,60846820.0,1172373788.0
2007,1317885000.0,61322463.0,1189691809.0
2008,1324655000.0,61806995.0,1206734806.0
2009,1331260000.0,62276270.0,1223640160.0
2010,1337705000.0,62766365.0,1240613620.0
2011,1345035000.0,63258810.0,1257621191.0
2012,1354190000.0,63700215.0,1274487215.0
2013,1363240000.0,64128273.0,1291132063.0
2014,1371860000.0,64602298.0,1307246509.0
2015,1379860000.0,65116219.0,1322866505.0
2016,1387790000.0,65611593.0,1338636340.0
2017,1396215000.0,66058859.0,1354195680.0
2018,1402760000.0,66460344.0,1369003306.0
2019,1407745000.0,66836327.0,1383112050.0
2020,1411100000.0,67081234.0,1396387127.0
2021,1412360000.0,67026300.0,1407563842.0
2022,1412175000.0,66971411.0,1417173173.0
Unnamed: 67,1,1,1
